InsCode,Asset_Name,Industry
10055255678920880,وملت  - لغو پذیرش شده/عدم اظهارنظر,سرمايه گذاريها
52455922800537930,تكنار  - قانون احکام دائمی برنامه های توسعه کشور,استخراج کانه هاي فلزي
3050342257199174,قنقش  - لغو پذیرش شده/عدم اظهارنظر,قند و شكر
22427604495160869,تمحركه,ماشين آلات و تجهيزات
63315013743060811,ثنور  - قانون احکام دائمی برنامه های توسعه کشور,انبوه سازي، املاك و مستغلات
33736447482634583,غپونه  - قانون احکام دائمی برنامه های توسعه کشور,محصولات غذايي و آشاميدني به جز قند و شكر
15282093177363578,شساخت  - قانون احکام دائمی برنامه های توسعه کشور,استخراج نفت گاز و خدمات جنبي جز اکتشاف
6506179926371994,آريان  - قانون احکام دائمی برنامه های توسعه کشور,سرمايه گذاريها
59342912854668427,فنفت  - قانون احکام دائمی برنامه های توسعه کشور,فلزات اساسي
318005355896147,فسا  - قانون احکام دائمی برنامه های توسعه کشور,محصولات شيميايي
49674915481184052,جهرم  - قانون احکام دائمی برنامه های توسعه کشور,محصولات شيميايي
56574323121551263,شكبير  - قانون احکام دائمی برنامه های توسعه کشور,محصولات شيميايي
52593789542874668,پلاست  - لغو پذیرش شده,لاستيك و پلاستيك
28845264556937486,شپلي  - لغو پذیرش شده/ اظهارنظر مردود,محصولات شيميايي
70391097626818082,گشان  - قانون احکام دائمی برنامه های توسعه کشور,هتل و رستوران
50580753680043015,معيار   - مشمول ماده 36 قانون احکام دائمی برنامه هاي توسعه کشور,سرمايه گذاريها
22950683624908253,نتوس  - لغو پذیرش شده,منسوجات
793710053482057,لپيام  - لغو پذیرش شده,ساخت دستگاه‌ها و وسايل ارتباطي
12901875871456398,ولراز  - قانون احکام دائمی برنامه های توسعه کشور,واسطه‌گري‌هاي مالي و پولي
58180284328186631,خفناور  - لغو پذیرش شده,خودرو و ساخت قطعات
23175320865252772,وسالت  - قانون احکام دائمی برنامه های توسعه کشور,بانكها و موسسات اعتباري
20034264486679145,سجام  - قانون احکام دائمی برنامه های توسعه کشور,سيمان، آهك و گچ
41713045190742691,وسديد  - لغو پذیرش شده,فلزات اساسي
64842837716888827,خكاوه  - لغو پذیرش شده,خودرو و ساخت قطعات
2318736941376687,خصدرا  - لغو پذیرش شده,پيمانكاري صنعتي
